frame,tipo,confianza,x1,y1,x2,y2
5,bus,0.927,0,122,327,356
5,auto,0.871,221,60,281,97
5,auto,0.866,116,71,198,115
5,auto,0.834,200,89,302,134
5,auto,0.821,371,71,429,115
5,auto,0.793,453,52,539,86
5,auto,0.752,296,63,344,108
5,auto,0.735,208,33,247,66
5,auto,0.734,0,126,77,180
5,auto,0.659,403,51,439,85
5,auto,0.628,279,24,322,57
5,auto,0.59,435,1,464,32
5,auto,0.528,261,43,297,74
5,auto,0.477,338,48,384,86
5,auto,0.458,260,0,285,16
5,auto,0.415,409,0,433,15
5,auto,0.409,137,119,223,155
10,bus,0.935,0,122,341,356
10,auto,0.844,125,69,201,114
10,auto,0.834,221,61,283,97
10,auto,0.83,371,71,429,115
10,auto,0.82,0,124,83,180
10,auto,0.793,201,91,304,132
10,auto,0.785,453,53,538,86
10,auto,0.778,295,64,344,110
10,auto,0.68,210,31,249,64
10,auto,0.668,403,51,438,85
10,auto,0.6,436,2,464,32
10,auto,0.522,279,25,322,57
10,auto,0.472,136,120,222,155
10,auto,0.445,373,0,415,25
10,auto,0.42,259,0,285,16
10,auto,0.408,337,25,425,88
10,auto,0.407,262,43,297,75
15,bus,0.934,0,109,353,356
15,auto,0.864,135,67,207,113
15,auto,0.833,372,73,430,115
15,auto,0.827,453,55,538,88
15,auto,0.819,223,61,284,98
15,auto,0.818,0,123,90,178
15,auto,0.724,296,64,344,112
15,auto,0.714,203,93,307,131
15,auto,0.695,213,31,249,64
15,auto,0.654,403,52,439,86
15,auto,0.595,262,44,300,75
15,auto,0.593,436,6,463,32
15,auto,0.575,279,27,323,59
15,auto,0.551,139,120,220,157
15,auto,0.422,337,50,386,88
20,bus,0.928,0,111,367,356
20,auto,0.846,373,75,431,116
20,auto,0.845,143,66,213,107
20,auto,0.823,453,56,538,91
20,auto,0.765,0,122,96,180
20,auto,0.749,296,67,344,113
20,auto,0.737,204,94,310,135
20,auto,0.726,215,33,250,63
20,auto,0.699,225,62,284,98
20,auto,0.665,403,54,439,88
20,auto,0.658,435,6,463,32
20,auto,0.649,263,44,301,76
20,auto,0.54,139,122,210,157
20,auto,0.455,342,30,426,91
20,auto,0.411,279,28,323,60
25,bus,0.918,0,105,376,356
25,auto,0.869,151,65,218,105
25,auto,0.81,372,78,429,120
25,auto,0.8,216,34,250,65
25,auto,0.8,0,121,103,182
25,auto,0.766,453,59,538,94
25,auto,0.742,296,68,344,118
25,auto,0.7,226,64,284,102
25,auto,0.695,402,57,439,91
25,auto,0.632,207,95,303,133
25,auto,0.614,139,125,222,159
25,auto,0.606,264,46,301,79
25,auto,0.507,257,0,284,20
25,auto,0.49,436,6,463,34
25,auto,0.463,397,0,425,19
25,auto,0.402,276,30,322,64
30,bus,0.912,0,101,383,355
30,auto,0.851,159,66,224,106
30,auto,0.839,295,73,343,116
30,auto,0.83,0,122,109,184
30,auto,0.812,372,80,429,124
30,auto,0.799,452,64,537,98
30,auto,0.712,402,61,437,95
30,auto,0.697,209,98,293,139
30,auto,0.688,226,67,284,106
30,auto,0.679,218,37,250,66
30,auto,0.619,139,129,211,165
30,auto,0.602,263,51,300,82
30,auto,0.576,336,60,386,98
30,auto,0.541,434,11,461,37
30,auto,0.49,347,36,423,77
30,auto,0.456,331,27,373,52
30,auto,0.436,279,34,323,68
35,bus,0.899,1,111,395,356
35,auto,0.863,371,86,428,128
35,auto,0.829,0,126,116,186
35,auto,0.79,450,69,534,102
35,auto,0.774,167,68,225,109
35,auto,0.758,294,79,341,115
35,auto,0.661,218,41,249,69
35,auto,0.624,226,71,284,112
35,auto,0.619,400,66,435,100
35,auto,0.597,135,134,216,169
35,auto,0.586,208,103,299,143
35,auto,0.518,432,15,457,40
35,auto,0.5,335,65,382,101
35,auto,0.414,372,14,416,40
35,auto,0.406,329,33,369,57
40,bus,0.931,0,110,395,356
40,auto,0.855,369,92,425,134
40,auto,0.808,448,74,532,109
40,auto,0.805,171,72,230,108
40,auto,0.788,1,130,121,188
40,auto,0.752,398,73,434,107
40,auto,0.749,225,76,281,118
40,auto,0.706,295,84,338,119
